"Category";"Femmes";"Hommes"
"0-9 ans";"12644";"13655"
"10-19 ans";"19482";"19742"
"20-29 ans";"26740";"24007"
"30-39 ans";"25603";"21351"
"40-49 ans";"26604";"22636"
"50-59 ans";"22102";"21110"
"60-69 ans";"12875";"13860"
"70-79 ans";"8927";"8442"
"80-89 ans";"11532";"6913"
"90 ans et plus";"8224";"2845"
